Epoch	EpRet	EpRealRet	TestEpRet	AverageQ1	StdQ1	MaxQ1	MinQ1	Q2	TestSuccess	TotalEnvInteracts	TotalTime
85	-200.0	-200.0	-200.0	-45.451126	4.4701357	-30.403276	-52.790737	-45.451126	0.0	860000	4591.1023161411285
86	-200.0	-200.0	-200.0	-45.40836	4.5107236	-28.339703	-52.71565	-45.40836	0.0	870000	4636.433464050293
87	-200.0	-200.0	-200.0	-45.42445	4.4775987	-28.755688	-52.655704	-45.42445	0.0	880000	4682.768659353256
88	-200.0	-200.0	-200.0	-45.449814	4.478516	-29.028387	-52.602856	-45.449814	0.0	890000	4728.375037908554
89	-200.0	-200.0	-200.0	-45.40405	4.5023336	-29.351404	-52.47593	-45.40405	0.0	900000	4774.04470539093
90	-200.0	-200.0	-200.0	-45.400906	4.490661	-30.213451	-52.538086	-45.400906	0.0	910000	4819.923263311386
91	-200.0	-200.0	-200.0	-45.38355	4.5008774	-30.294996	-53.28447	-45.38355	0.0	920000	4866.409481287003
92	-200.0	-200.0	-200.0	-45.371647	4.507086	-30.232813	-52.97533	-45.371647	0.0	930000	4912.268852710724
93	-200.0	-200.0	-200.0	-45.36947	4.494455	-30.726181	-52.882725	-45.36947	0.0	940000	4957.81930398941
94	-200.0	-200.0	-200.0	-45.367477	4.4979324	-30.404272	-53.189365	-45.367477	0.0	950000	5003.584949731827
95	-200.0	-200.0	-200.0	-45.371414	4.5039735	-29.767254	-52.425186	-45.371414	0.0	960000	5050.128587722778
